path,aspect-ratio,film,department,author-id,description
assets/images/artbook/memes/vlcsnap-2023-11-20-11h07m27s245,1,Coffee Brake,Memes,,
assets/images/artbook/plans/Carol_s Chair/CloseUp_greyscale,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/CloseUp_textured,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/CloseUp_wireframe,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Front_greyscale,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Front_Textured,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Front_wireframe,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Perspective_greyscale,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Perspective_Textured,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Perspective_wireframe,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Side_greyscale,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Side_textured,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Carol_s Chair/Side_wireframe,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Gary/0001,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Gary/beauty,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Gary_s Chair/Gary chair_showcase 1,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Gary_s Chair/Gary chair_showcase 2,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/plans/Ship/1,1.754509018,Alone,Modelling,,
assets/images/artbook/plans/Ship/2,1.755778894,Alone,Modelling,,
assets/images/artbook/plans/Ship/3,1.748251748,Alone,Modelling,,
assets/images/artbook/plans/Ship/4,1.75678392,Alone,Modelling,,
assets/images/artbook/plans/Ship/5,1.797743056,Alone,Modelling,,
assets/images/artbook/plans/Ship/6,1.79015544,Alone,Modelling,,
assets/images/artbook/social/20230405_182906,1.333333333,Social,Social,,
assets/images/artbook/social/20230405_182932,1.333333333,Social,Social,,
assets/images/artbook/social/20230503_185227,1.333333333,Social,Social,,
assets/images/artbook/social/20230531-IMG_0449,1.5,Social,Social,,
assets/images/artbook/social/20230531-IMG_0673,1.5,Social,Social,,
assets/images/artbook/social/20230531-IMG_0695,1.5,Social,Social,,
assets/images/artbook/social/20231018_112428,1.333333333,Social,Social,,
assets/images/artbook/social/ala_halloween,1.499693815,Social,Social,,
assets/images/artbook/social/anim_team_lunch,1.333333333,Social,Social,,
assets/images/artbook/social/atmospheric_alone,0.5625,Social,Social,,
assets/images/artbook/social/dinovsbread,0.75,Social,Social,,
assets/images/artbook/social/easter,1.333333333,Social,Social,,
assets/images/artbook/social/exhibition_art,1.333333333,Social,Social,,
assets/images/artbook/social/filmfest,1.333333333,Social,Social,,
assets/images/artbook/social/First group drawing,1.777777778,Social,Social,,
assets/images/artbook/social/IMG_20230418_120517,1.333333333,Social,Social,,
assets/images/artbook/social/IMG_5486,0.75,Social,Social,,
assets/images/artbook/social/img_6735,1.333333333,Social,Social,,
assets/images/artbook/social/magicians,1.333333333,Social,Social,,
assets/images/artbook/social/mahjong,1.333333333,Social,Social,,
assets/images/artbook/social/ramen,1.777777778,Social,Social,,
assets/images/artbook/social/smash_tornament,1.333333333,Social,Social,,
assets/images/artbook/social/starwars01,1.333333333,Social,Social,,
assets/images/artbook/social/starwars02,1.333333333,Social,Social,,
assets/images/artbook/social/vivid,0.75,Social,Social,,
